1306,742
282,1766
1562,486
538,1510
1050,998
26,2022
2026,22
1002,1046
1514,534
490,1558
1770,278
746,1302
1258,790
234,1814
1898,150
874,1174
1386,662
362,1686
1642,406
618,1430
1130,918
106,1942
1962,86
938,1110
1450,598
426,1622
1706,342
682,1366
1194,854
170,1878
1834,214
810,1238
1322,726
298,1750
1578,470
554,1494
1066,982
42,2006
1994,54
970,1078
1482,566
458,1590
1738,310
714,1334
1226,822
202,1846
1866,182
842,1206
1354,694
330,1718
1610,438
586,1462
1098,950
74,1974
1930,118
906,1142
1418,630
394,1654
1674,374
650,1398
1162,886
138,1910
1802,246
778,1270
1290,758
266,1782
1546,502
522,1526
1034,1014
10,2038
2034,14
1010,1038
1522,526
498,1550
1778,270
754,1294
1266,782
242,1806
1906,142
882,1166
1394,654
370,1678
1650,398
626,1422
1138,910
114,1934
1970,78
946,1102
1458,590
434,1614
1714,334
690,1358
1202,846
178,1870
1842,206
818,1230
1330,718
306,1742
1586,462
562,1486
1074,974
50,1998
2002,46
978,1070
1490,558
466,1582
1746,302
722,1326
1234,814
210,1838
1874,174
850,1198
1362,686
338,1710
1618,430
594,1454
1106,942
82,1966
1938,110
914,1134
1426,622
402,1646
1682,366
658,1390
1170,878
146,1902
1810,238
786,1262
1298,750
274,1774
1554,494
530,1518
1042,1006
18,2030
2018,30
994,1054
1506,542
482,1566
1762,286
738,1310
1250,798
226,1822
1890,158
866,1182
1378,670
354,1694
1634,414
610,1438
1122,926
98,1950
1954,94
930,1118
1442,606
418,1630
1698,350
674,1374
1186,862
162,1886
1826,222
802,1246
1314,734
290,1758
1570,478
546,1502
1058,990
34,2014
1986,62
962,1086
1474,574
450,1598
1730,318
706,1342
1218,830
194,1854
1858,190
834,1214
1346,702
322,1726
1602,446
578,1470
1090,958
66,1982
1922,126
898,1150
1410,638
386,1662
1666,382
642,1406
1154,894
130,1918
1794,254
770,1278
1282,766
258,1790
1538,510
514,1534
1026,1022
2,2046
2045,3
1021,1027
1533,515
509,1539
1789,259
765,1283
1277,771
253,1795
1917,131
893,1155
1405,643
381,1667
1661,387
637,1411
